Region,2011,2016
Australia,1979,1958
  New South Wales,2151,2146
    Greater Sydney,2390,2384
    Rest of NSW,1720,1719
  Victoria,1863,1872
    Greater Melbourne,1997,1997
    Rest of Vic.,1453,1475
  Queensland,1985,1892
    Greater Brisbane,2073,1987
    Rest of Qld,1894,1795
  South Australia,1626,1605
    Greater Adelaide,1708,1686
    Rest of SA,1310,1290
  Western Australia,2090,2078
    Greater Perth,2148,2132
    Rest of WA,1807,1795
  Tasmania,1442,1412
    Greater Hobart,1570,1531
    Rest of Tas.,1338,1314
  Northern Territory,2197,2287
    Greater Darwin,2288,2383
    Rest of NT,1909,1945
