Region,2011,2016
Australia,1267,1524
  New South Wales,1368,1736
    Greater Sydney,1575,1996
    Rest of NSW,991,1212
  Victoria,1239,1483
    Greater Melbourne,1364,1613
    Rest of Vic.,856,1029
  Queensland,1279,1452
    Greater Brisbane,1388,1581
    Rest of Qld,1184,1332
  South Australia,974,1146
    Greater Adelaide,1052,1233
    Rest of SA,711,837
  Western Australia,1251,1468
    Greater Perth,1374,1600
    Rest of WA,893,1071
  Tasmania,893,1019
    Greater Hobart,1028,1154
    Rest of Tas.,786,907
  Northern Territory,1118,1390
    Greater Darwin,1530,1835
    Rest of NT,617,745
