,2012,,,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,,2015,,,,,,,,,,,,2016,,,,,,,,,,,,2017,,,,,,,,,,,,2018,,,,,,,,,,,,2019,,,,,,,,,,
,,,Age-specific fertility rates,,,,,,,,,,,,Age-specific fertility rates,,,,,,,,,,,,Age-specific fertility rates,,,,,,,,,,,,Age-specific fertility rates,,,,,,,,,,,,Age-specific fertility rates,,,,,,,,,,,,Age-specific fertility rates,,,,,,,,,,,,Age-specific fertility rates,,,,,,,,,,,,Age-specific fertility rates,,,,,,,,
,Estimated resident population,Births,15–19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Median age of mother,,Estimated resident population,Births,15–19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Median age of mother,,Estimated resident population,Births,15–19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Median age of mother,,Estimated resident population,Births,15–19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Median age of mother,,Estimated resident population,Births,15–19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Median age of mother,,Estimated resident population(a),Births,15–19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Median age of mother,,Estimated resident population(a),Births,15–19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Median age of mother,,Estimated resident population(a),Births,15–19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Median age of mother
,persons,no.,rate,rate,rate,rate,rate,rate,rate,rate,years,,persons,no.,rate,rate,rate,rate,rate,rate,rate,rate,years,,persons,no.,rate,rate,rate,rate,rate,rate,rate,rate,years,,persons,no.,rate,rate,rate,rate,rate,rate,rate,rate,years,,persons,no.,rate,rate,rate,rate,rate,rate,rate,rate,years,,persons,no.,rate,rate,rate,rate,rate,rate,rate,rate,years,,persons,no.,rate,rate,rate,rate,rate,rate,rate,rate,years,,persons,no.,rate,rate,rate,rate,rate,rate,rate,rate,years
Greater Sydney,"4,677,196","66,474",10.0,41.7,93.0,128.9,81.5,19.0,1.1,1.88,31.6,,"4,757,364","67,869",9.3,39.8,91.2,128.4,80.9,19.0,1.2,1.85,31.7,,"4,841,349","62,084",8.3,37.0,86.9,125.0,79.0,18.5,1.3,1.78,31.7,,"4,930,189","67,268",7.6,35.4,84.3,123.9,78.9,18.4,1.4,1.75,31.8,,"5,024,923","65,390",6.7,32.6,80.3,120.9,77.1,18.0,1.6,1.69,31.9,,"5,136,919","65,288",6.2,31.9,78.5,119.7,77.9,18.5,1.6,1.67,32.0,,"5,225,098","72,514",5.8,30.7,77.3,120.2,79.4,19.0,1.7,1.67,32.1,,"5,312,163","66,657",5.4,29.9,74.9,117.5,79.4,19.3,1.7,1.64,32.1
Rest of NSW,"2,627,048","31,583",22.9,81.0,133.2,126.6,59.1,11.4,0.6,2.17,29.2,,"2,646,668","32,018",22.0,78.4,132.2,125.9,58.8,11.5,0.7,2.15,29.3,,"2,667,004","28,152",20.1,73.0,125.0,120.7,57.0,11.2,0.7,2.04,29.4,,"2,685,979","31,210",19.0,70.6,123.0,120.3,56.3,11.4,0.6,2.01,29.5,,"2,707,935","29,346",17.2,66.2,116.4,117.4,55.5,10.9,0.7,1.92,29.6,,"2,731,017","30,007",16.6,66.4,116.1,120.2,56.8,11.0,0.7,1.94,29.8,,"2,755,070","33,756",15.6,66.2,117.6,123.6,59.7,11.3,0.8,1.97,29.9,,"2,777,654","31,493",15.0,67.1,119.8,125.7,60.8,11.8,0.7,2.00,30.0
Total New South Wales,"7,304,244","98,508",14.9,54.1,104.4,128.8,74.8,16.5,1.0,1.97,30.9,,"7,404,032","100,462",14.1,52.1,102.9,128.3,74.4,16.6,1.1,1.95,31.0,,"7,508,353","91,074",12.8,48.5,97.9,124.5,72.7,16.1,1.1,1.87,31.1,,"7,616,168","100,079",12.0,46.9,95.9,124.0,72.7,16.2,1.2,1.84,31.2,,"7,732,858","96,083",10.9,43.7,91.4,121.2,71.5,15.9,1.3,1.78,31.3,,"7,861,674","96,591",10.3,43.2,90.0,121.2,72.6,16.3,1.3,1.77,31.3,,"7,987,264","107,343",9.6,42.0,89.2,122.3,74.4,16.7,1.4,1.78,31.5,,"8,089,526","98,906",9.1,41.3,87.7,120.8,74.7,17.1,1.4,1.76,31.5
Greater Melbourne,"4,265,843","59,997",6.9,31.9,84.0,127.5,80.5,17.6,1.1,1.75,31.9,,"4,370,067","57,301",6.9,31.8,82.8,126.0,80.4,17.7,1.2,1.73,31.9,,"4,476,030","57,863",6.6,31.5,81.4,124.8,80.0,17.5,1.2,1.71,31.9,,"4,586,012","57,518",5.8,29.3,76.7,120.4,77.9,17.0,1.3,1.64,32.0,,"4,714,387","65,148",5.1,28.6,76.8,122.9,79.8,17.4,1.5,1.66,32.0,,"4,843,928","64,543",4.6,27.2,75.9,123.9,81.6,18.2,1.6,1.66,32.1,,"4,964,713","61,358",4.3,25.6,74.0,122.6,81.5,18.9,1.6,1.64,32.2,,"5,078,193","60,764",3.9,23.1,68.6,116.6,78.1,18.4,1.7,1.55,32.3
Rest of Vic.,"1,385,248","17,282",16.9,68.1,129.1,132.3,61.9,12.1,0.5,2.10,29.9,,"1,402,602","16,556",17.5,68.9,129.1,132.7,63.0,12.4,0.5,2.12,29.9,,"1,418,887","16,197",16.9,68.1,125.9,131.8,63.9,12.1,0.6,2.10,29.9,,"1,436,310","15,874",14.8,63.9,120.9,127.9,61.8,11.7,0.7,2.01,30.1,,"1,458,785","17,547",13.4,63.3,120.0,129.8,63.5,11.9,0.8,2.01,30.2,,"1,477,678","17,287",12.5,62.0,120.7,131.2,64.5,12.5,0.8,2.02,30.3,,"1,497,306","16,862",11.7,61.8,119.3,132.6,65.7,13.3,0.8,2.03,30.4,,"1,517,846","16,155",10.7,58.9,114.1,127.5,63.0,13.0,0.8,1.94,30.5
Total Victoria,"5,651,091","77,405",9.5,39.0,92.2,128.5,76.6,16.4,1.0,1.82,31.5,,"5,772,669","73,969",9.7,39.1,91.2,127.3,76.8,16.6,1.0,1.81,31.5,,"5,894,917","74,224",9.3,38.7,89.4,126.2,76.8,16.3,1.1,1.79,31.5,,"6,022,322","73,568",8.1,36.1,84.6,121.9,74.7,15.8,1.2,1.71,31.6,,"6,173,172","82,892",7.2,35.3,84.5,124.3,76.7,16.2,1.3,1.73,31.7,,"6,321,648","82,094",6.6,33.9,83.9,125.4,78.4,17.0,1.4,1.73,31.8,,"6,459,765","78,488",6.2,32.5,82.1,124.7,78.7,17.8,1.5,1.72,31.9,,"6,594,804","77,220",5.6,29.7,76.6,118.8,75.5,17.3,1.5,1.63,32.0
Greater Brisbane,"2,196,288","31,361",18.9,55.9,102.0,124.0,68.8,14.7,0.8,1.93,30.4,,"2,241,944","31,145",17.3,53.4,99.8,122.1,68.7,14.3,0.8,1.88,30.5,,"2,281,740","30,927",16.0,50.9,97.2,122.0,67.6,14.2,0.8,1.84,30.6,,"2,318,653","30,493",14.2,48.8,94.1,119.6,67.5,13.7,0.8,1.79,30.7,,"2,362,672","31,271",12.7,47.0,91.5,119.1,67.7,14.0,0.9,1.76,30.9,,"2,412,517","30,792",11.8,46.0,88.9,116.7,67.1,13.6,1.0,1.73,30.9,,"2,461,597","31,578",11.3,45.4,87.2,114.8,67.4,14.0,1.0,1.71,31.0,,"2,514,184","31,646",11.2,44.4,84.8,111.7,67.1,13.9,1.1,1.67,31.0
