Region,2011,2016
Australia,61.1,52.1
  New South Wales,64.5,55.2
    Greater Sydney,60.9,51.7
    Rest of NSW,71,61.5
  Victoria,57.5,47.9
    Greater Melbourne,55.8,46.3
    Rest of Vic.,62.7,53.1
  Queensland,64.3,56
    Greater Brisbane,62.8,53.6
    Rest of Qld,65.7,58.4
  South Australia,57.3,49.1
    Greater Adelaide,56.7,48.2
    Rest of SA,59.4,52.5
  Western Australia,58.1,49.8
    Greater Perth,58.4,49.7
    Rest of WA,57.2,50.2
  Tasmania,59.6,49.7
    Greater Hobart,58.7,47.3
    Rest of Tas.,60.4,51.7
  Northern Territory,55.5,47.7
    Greater Darwin,52,44.8
    Rest of NT,60.4,52.3
